bw1,bw2,dl1,dl2,pl1,pl2,MPSNR
6.908,7.21,71,187,0.17,0.01,86.64865625
8.381,7.119,202,248,0.23,0.44,52.0518125
8.244,6.283,211,262,0.84,0.3,37.5629375
4.806,8.491,101,93,0.04,0.22,57.93646875
7.903,7.089,249,24,0.35,0.07,74.21840625
4.538,7.236,283,133,0,0.97,36.54721875
6.377,4.514,53,268,0.7,0.94,16.26709375
7.794,10.025,13,15,0.59,0.2,54.1356875
9.546,9.135,139,124,0.45,0.09,54.38015625
5.702,10.322,176,211,0.66,0.49,38.994625
4.445,9.052,138,245,0.58,0.31,26.62615625
8.279,11.505,173,257,0.17,0.22,61.572
4.122,4.734,243,31,0.64,0.61,18.09403125
8.996,7.962,43,297,0.47,0.95,32.2365625
4.105,9.941,3,162,0.34,0.21,28.06225
4.181,6.485,50,129,0.78,0.94,21.8726875
8.089,8.214,102,135,0.09,0.85,44.00015625
4.409,10.468,59,180,0.35,0.02,32.5611875
4.607,4.905,298,65,0.06,0.83,30.95621875
8.924,8.895,198,153,0.67,0.29,42.84171875
6.998,8.285,297,116,0.46,0.96,28.65859375
9.97,10.381,27,168,0.43,0.23,55.94165625
5.502,7.485,179,81,0.92,0.77,26.2219375
4.76,5.551,285,40,0.22,0.51,31.82271875
8.727,5.629,27,208,0.05,0.89,43.8158125
4.182,5.561,92,17,0.14,0.23,33.431875
4.971,9.443,283,7,0.02,0.81,40.9415
9.876,11.091,238,250,0.37,0.6,38.483125
7.391,9.432,3,8,0.2,0.26,67.555875
4.304,10.403,18,132,0.06,0.56,27.83103125
7.61,7.819,5,94,0.54,0.85,30.5488125
9.47,11.159,189,205,0.49,0.35,40.91040625
9.87,7.882,195,123,0.18,0.71,41.66565625
8.305,10.831,53,233,0.66,0.6,38.21025
5.807,5.4,70,75,0.42,0.83,38.85940625
6.633,10.057,84,292,0.98,0.32,34.8199375
4.26,10.752,97,297,0.28,0.35,21.628875
9.207,11.209,24,276,0.31,0.16,70.95575
7.139,6.649,179,10,0.01,0.45,63.0546875
8.643,11.035,262,273,0.68,0.48,35.60759375
6.802,6.063,107,179,0.72,0.77,34.3530625
9.234,7.298,289,51,0.81,0.02,47.0421875
8.394,7.934,83,224,0.1,0.26,72.7295
6.103,9.985,267,210,0.6,0.36,38.36365625
8.117,9.915,148,122,0.82,0.74,32.07325
8.655,11.406,150,261,0.36,0.65,50.360125
6.595,6.245,136,17,0.85,0.51,34.899875
6.578,10.703,168,286,0.33,0.69,35.8971875
7.301,8.934,35,208,0.45,0.59,34.1279375
8.619,7.675,112,27,0.85,0.36,33.73890625
4.32,9.809,4,134,0.65,0.51,25.15509375
8.843,7.315,237,44,0.23,0.59,44.37075
6.904,8.131,91,7,0.41,0.38,48.91771875
9.959,10.541,108,236,0.72,0.24,39.71225
6.319,7.738,216,63,0.03,0.35,63.28815625
4.757,4.838,18,126,0.58,0.76,27.00478125
9.767,8.625,295,190,0.23,0.4,54.849625
9.497,11.229,99,161,0.65,0.16,48.12434375
5.639,11.09,238,14,0.76,0.1,40.0975
6.828,10.061,122,52,0.24,0.14,72.834625
7.27,10.243,135,134,0.27,0.33,48.6633125
8.436,9.06,260,20,0.93,0.72,24.82778125
9.202,7.204,188,169,0.53,0.9,32.92384375
8.373,6.201,209,247,0.42,0.76,40.1215625
9.887,4.984,58,259,0.73,0.68,23.90559375
9.567,11.85,123,266,0.11,0.5,55.52284375
6.24,5.471,118,68,0.47,0.31,43.57375
4.042,10.954,179,255,0.92,1,13.10471875
7.858,11.848,17,212,0.57,0.03,52.74190625
9.778,4.027,89,131,0.08,0.47,22.39271875
6.934,4.82,71,149,0.25,0.16,44.32628125
9.716,5.406,262,151,0.94,0.92,24.95471875
8.722,6.445,78,137,0.51,0.43,41.41790625
9.83,7.233,287,285,0.01,0.61,49.56378125
9.75,11.497,179,246,0.86,0.53,30.5835625
6.664,11.627,244,298,0.84,0.46,40.944875
4.189,10.061,288,83,0.72,0.16,20.62303125
